2020-02-24 16:58:10,916 | roomBot.tools | INFO 	| Checked time
2020-02-24 16:59:52,108 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:01:33,298 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:03:14,493 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:04:55,689 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:06:36,884 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:08:18,074 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:09:59,267 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:11:40,466 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:13:21,658 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:15:02,854 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:16:44,054 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:18:25,250 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:20:06,446 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:21:47,642 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:23:28,838 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:25:10,030 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:26:51,217 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:28:32,404 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:30:13,595 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:31:54,790 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:38:27,343 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:40:08,532 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:41:49,730 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:43:30,929 | roomBot.tools | INFO 	| Checked time
2020-02-24 17:45:12,122 | roomBot.tools | INFO 	| Checked time
2020-03-02 11:07:44,645 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:07:44,722 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:07:44,723 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:07:44,724 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 11:07:44,724 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 11:11:34,329 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:11:34,404 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:11:34,404 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:12:07,641 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:12:07,715 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:12:07,715 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:15:17,359 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
